description,r,a,c,m,K,tau,V,w_r,w_m,tau_r,tau_m,Bc,Pc,B0,P0,t_0,t_f,Bf,Pf,t_B_V,t_P_V,t_B_c_1,t_P_c_1,t_B_c_2,t_P_c_2,Beq,Peq,lambda_1,Lambda_2,,,,
growth,0.9,3E-08,150,0.0028,,14,1,12.6,0.039,1.11,357.14,15900,2380000,1000,10000,0,14,0,307000000,10.25,,3.08,7.79,9.1,,622,30000000,"7,52994023880668i","-7,52994023880668i",,,,
decay,3.7E-05,1E-10,150,0.1,,260,1,0.0096,26,27027.03,10,256000,38500000,66666666.67,1,0.1,260,3028.45,0.69,,256.331412,34.06,19.51,,81.61,6670000,370000,"0,28853076092507i","-0,28853076092507i",,,,
growth-decay,0.1,3E-08,150,0.1,,200,1,20,20,10,10,1110,167000,55555.56,3333333.33,0,200,42500,1330000,,,,,,,22222.22,3333333.33,15i,-15i,,,,
growth-decay_long,0.1,3E-08,150,0.1,,200,1,20,20,10,10,1111.11111111111,166666.666666667,55555.56,3333333.33,0,250,11199.8689588731,1176235.34713651,,,,,,,22222.22,3333333.33,15i,-15i,,,,
No-growth-no-decay,3.7E-05,3E-08,150,0.0001,,1500,1,0.0555,0.15,27027.02,10000,148.148148148148,22222.2222222222,1500,1000,0,1500,,,,,,,,,22.2222222222222,1233.33333333333,,,,,,
no-growth-no-decay_null,3.7E-05,3E-08,150,0.0001,,1500,1,0.0555,0.15,27027.027027027,10000,148.148148148148,22222.2222222222,100,1000,0,10,,,,,,,,,22.2222222222222,1233.33333333333,,,,,,
growth_80_Peq_kick,0.9,3E-08,150,0.0028,,14,1,12.6,0.0392,1.11111111111111,357.142857142857,15900,2380000,622,30000000,140,1,0.8,622,24000000,14,,29000000,,,,,,,,,622,30000000
decay_80_Beq_kick,3.7E-05,1E-10,150,0.1,,260,1,0.00962,26,27027.027027027,10,256000,38500000,6670000,370000,1000,0.8,1,5330000,370000,100,,,,,,,,,,,6670000,370000
growth_decay_100_Peq_kick,0.1,3E-08,150,0.1,,200,1,20,20,10,10,1110,167000,22200,3330000,1000,1,2,22200,6670000,100,25700,1380000,35400,5310000,,,,,,,22200,3330000
growth_decay_50_crit_B_P_short_kick,0.1,3E-08,150,0.1,,200,1,20,20,10,10,1110,167000,22200,3330000,1000,,,556,83300,100,5030,11000,191000,28600000,,,,,,,22200,3330000
growth_decay_logistic_kick,0.1,3E-08,150,0.1,10000000,200,1,20,20,10,10,1110,167000,22200,3330000,200000,1,2,22200,6670000,100,,,,,,,,,,,22200,3330000
growth_decay_50_crit_B_P_kick,0.1,3E-08,150,0.1,,200,1,20,20,10,10,1110,167000,22200,3330000,2000,,,556,83300,100,3610,14300,191000,28600000,,,,,,,22200,3330000
