,bacteria_relative,phage_relative,bacteria_logratio,phage_logratio,category,threshold,scenario
4,0.008979234033087,0.008882979313227,0.008939633962047,0.008922087038922,median,0.1,growth-decay_regimes
5,0.005021088956647,0.005048613275903,0.004991033005984,0.005078114196779,mad,0.1,growth-decay_regimes
10,0.071871772487513,0.057850158517257,0.070038421289951,0.059373284196098,median,0.5,growth-decay_regimes
11,0.043583652956548,0.035697865801851,0.040911989210719,0.0378218376505,mad,0.5,growth-decay_regimes
16,0.106638059448404,0.081476952964288,0.102624097751229,0.084111796812471,median,1.0,growth-decay_regimes
17,0.064787615027883,0.051875510646173,0.063058437711425,0.057215835842082,mad,1.0,growth-decay_regimes
22,0.138434001902106,0.098604305851182,0.131785556358919,0.102198181481886,median,1.5,growth-decay_regimes
23,0.088892465068246,0.066086334552667,0.086227319600928,0.074728123447927,mad,1.5,growth-decay_regimes
28,0.169798234599023,0.112721453694752,0.160141725149726,0.117176264167904,median,2.0,growth-decay_regimes
29,0.117225022507501,0.080609892632679,0.107648776373378,0.091896754372879,mad,2.0,growth-decay_regimes
34,0.005447174471471,0.009775086135349,0.00543239227311,0.009823175934488,median,0.1,decay
35,0.001284168354807,0.005408306617804,0.001277300604493,0.005462552185005,mad,0.1,decay
40,0.019859312032442,0.014282289956668,0.019664688403084,0.014385263501218,median,0.5,decay
41,0.003116469959096,0.005392219260743,0.003051460930541,0.005471194914772,mad,0.5,decay
46,0.039661789265228,0.018072775595403,0.038895457633845,0.018238082941628,median,1.0,decay
47,0.003176982055895,0.005079113500389,0.003051460930541,0.005177866252286,mad,1.0,decay
52,0.059848768654259,0.020752898136904,0.058126226864595,0.020953695775295,median,1.5,decay
53,0.003238669108304,0.004953713521513,0.003051460930541,0.005063561933884,mad,1.5,decay
58,0.080427716028569,0.024074159129442,0.077356996095396,0.024354454561561,median,2.0,decay
59,0.003301553930284,0.004983318323065,0.003051460930541,0.005089979113775,mad,2.0,decay
64,0.005242485666961,0.005290666409889,0.005256275712136,0.005285817055309,median,0.1,growth
65,0.002935585553561,0.003315750026974,0.002897871633557,0.003298899423006,mad,0.1,growth
70,0.006364956671474,0.015873808168932,0.006385299374412,0.015777136884127,median,0.5,growth
71,0.005940551466751,0.008888365150064,0.005960984204105,0.009081966405739,mad,0.5,growth
76,0.006174508226601,0.018997061732487,0.006193649334482,0.018862104587102,median,1.0,growth
77,0.005907093536843,0.012655916426444,0.0059202480397,0.012755051894491,mad,1.0,growth
82,0.005548448925688,0.023828487865756,0.00556389874328,0.023605020270314,median,1.5,growth
83,0.005262959480416,0.017156349021515,0.005278450042365,0.017138624056157,mad,1.5,growth
88,0.005773077879631,0.028029409481803,0.005789806508589,0.027672304504089,median,2.0,growth
89,0.005532760204304,0.019993281890561,0.005549517704929,0.019968435184686,mad,2.0,growth
94,0.012021782257133,0.025406884216336,0.012079216887621,0.025735212230283,median,0.1,no-growth-no-decay
95,0.008794412245546,0.007279823945324,0.008804941347915,0.00749022834882,mad,0.1,no-growth-no-decay
100,0.037446343937881,0.076689850133627,0.038165467815934,0.073891380966483,median,0.5,no-growth-no-decay
101,0.037091251939339,0.030425816703611,0.037855627574711,0.028519801456518,mad,0.5,no-growth-no-decay
106,0.06765207431344,0.085860109849146,0.066054286000008,0.082372400921124,median,1.0,no-growth-no-decay
107,0.065614424620104,0.063296013252949,0.064498206932246,0.05861953355479,mad,1.0,no-growth-no-decay
112,0.098989034946332,0.085860109849153,0.095972039536784,0.08237240092113,median,1.5,no-growth-no-decay
113,0.094919978966853,0.065360466080889,0.09297614024798,0.06119965935592,mad,1.5,no-growth-no-decay
118,0.125432689002407,0.08586010984916,0.121014261774475,0.082372400921137,median,2.0,no-growth-no-decay
119,0.119662595496874,0.065373691166723,0.116934479641241,0.06122621511477,mad,2.0,no-growth-no-decay
