description,r,a,c,m,K,tau,V,w_r,w_m,tau_r,tau_m,Bc,Pc,B0,P0,t_0,t_f,Bf,Pf,t_B_V,t_P_V,t_B_c_1,t_P_c_1,t_B_c_2,t_P_c_2,Beq,Peq,lambda_1,Lambda_2
growth,0.9,0.00000003,150,0.0028,,14,1,12.6,0.039,1.11,357.14,15900,2380000,1000,10000,0,14,0,307000000,10.25,,3.08,7.79,9.1,,622,30000000,"7,52994023880668i","-7,52994023880668i"
decay,0.000037,1E-10,150,0.1,,260,1,0.0096,26,27027.03,10,256000,38500000,66666666.67,1,0.1,260,3028.45,0.69,,256.331412,34.06,19.51,,81.61,6670000,370000,"0,28853076092507i","-0,28853076092507i"
growth-decay,0.1,0.00000003,150,0.1,,200,1,20,20,10,10,1110,167000,55555.56,3333333.33,0,70,42500,1330000,,,,,,,22222.22,3333333.33,15i,-15i
growth-decay_figure,0.1,0.00000003,150,0.1,,200,1,20,20,10,10,1110,167000,55555.56,3333333.33,0,250,,,,,,,,,22222.22,3333333.33,15i,-15i
growth-decay_long,0.1,0.00000003,150,0.1,,200,1,20,20,10,10,1111.11111111111,166666.666666667,26666.664,2666666.664,0,250,11199.8689588731,1176235.34713651,,,,,,,22222.22,3333333.33,15i,-15i
growth-decay_regimes,0.1,0.00000003,150,0.1,,200,1,20,20,10,10,1111.11111111111,166666.666666667,2500,50000,0,250,11199.8689588731,1176235.34713651,,,,,,,22222.22,3333333.33,15i,-15i
growth-decay_four_resol,0.1,0.00000003,150,0.1,,200,1,20,20,10,10,1111.11111111111,166666.666666667,3000,25000,0,250,11199.8689588731,1176235.34713651,,,,,,,22222.22,3333333.33,15i,-15i
no-growth-no-decay_short,0.000037,1E-10,150,0.0028,,200,1,0.0073999,0.5599,27027.02,357.14,333333.333333333,50000000,666666.666666667,35000000,0,250,,,,,,,,,186666.666666667,370000,,
no-growth-no-decay_1,0.000037,0.00000003,150,0.0001,,200,1,0.0073999,0.02,27027.02,10000,1111.11111111111,166666.666666667,1500,1000,0,250,,,,,,,,,22.2222222222222,1233.33333333333,,
no-growth-no-decay,0.000037,0.00000003,150,0.0001,,1500,1,0.0555,0.15,27027.02,10000,148.148148148148,22222.2222222222,1500,1000,0,1500,,,,,,,,,22.2222222222222,1233.33333333333,,
no-growth-no-decay_null,0.000037,0.00000003,150,0.0001,,1500,1,0.0555,0.15,27027.027027027,10000,148.148148148148,22222.2222222222,100,1000,0,10,,,,,,,,,22.2222222222222,1233.33333333333,,
growth_short,0.9,0.00000003,150,0.0028,,14,1,12.6,0.039,1.11,357.14,15900,2380000,1000,10000,0,10,0,307000000,10.25,,3.08,7.79,9.1,,622,30000000,"7,52994023880668i","-7,52994023880668i"
