,Theoretic Time,Experiment,Measurement,Time,Concentration,Bioagent,Type,Total_Type
0,34.0,0,0,33.910000000000004,1389989993.133278,CFU,wt,CFUwt
1,34.0,0,0,34.15,169.2232754058913,PFU,wt,PFUwt
2,34.0,0,0,33.63,1539720064.8948934,CFU,sp,CFUsp
3,34.0,0,0,34.480000000000004,36.7818645382218,PFU,sp,PFUsp
4,34.0,0,1,33.7,1389988952.770507,CFU,wt,CFUwt
5,34.0,0,1,33.89,167.55054799070365,PFU,wt,PFUwt
6,34.0,0,1,34.13,1539768729.1718616,CFU,sp,CFUsp
7,34.0,0,1,34.32,36.53827227707132,PFU,sp,PFUsp
8,34.0,0,2,33.55,1389988144.0676525,CFU,wt,CFUwt
9,34.0,0,2,34.11,168.9660175451301,PFU,wt,PFUwt
10,34.0,0,2,33.57,1539713575.896545,CFU,sp,CFUsp
11,34.0,0,2,33.79,35.73055399102915,PFU,sp,PFUsp
12,34.0,0,3,33.54,1389988088.0955336,CFU,wt,CFUwt
13,34.0,0,3,33.730000000000004,166.5205293684699,PFU,wt,PFUwt
14,34.0,0,3,34.26,1539779931.9705994,CFU,sp,CFUsp
15,34.0,0,3,33.81,35.76105674149969,PFU,sp,PFUsp
16,34.0,0,4,34.28,1389991593.502464,CFU,wt,CFUwt
17,34.0,0,4,33.910000000000004,167.67926560253474,PFU,wt,PFUwt
18,34.0,0,4,34.27,1539780770.9072783,CFU,sp,CFUsp
19,34.0,0,4,34.300000000000004,36.507815176397166,PFU,sp,PFUsp
20,34.0,1,0,34.37,1389991942.3997123,CFU,wt,CFUwt
21,34.0,1,0,33.8,166.97122327396175,PFU,wt,PFUwt
22,34.0,1,0,33.77,1539734640.029999,CFU,sp,CFUsp
23,34.0,1,0,33.54,35.349118857481116,PFU,sp,PFUsp
24,34.0,1,1,33.63,1389988582.479524,CFU,wt,CFUwt
25,34.0,1,1,34.42,170.95895958043243,PFU,wt,PFUwt
26,34.0,1,1,33.58,1539714667.7470045,CFU,sp,CFUsp
27,34.0,1,1,33.79,35.73055399102915,PFU,sp,PFUsp
28,34.0,1,2,34.07,1389990719.5227432,CFU,wt,CFUwt
29,34.0,1,2,34.18,169.41619856551625,PFU,wt,PFUwt
30,34.0,1,2,34.02,1539758805.662297,CFU,sp,CFUsp
31,34.0,1,2,33.79,35.73055399102915,PFU,sp,PFUsp
32,34.0,1,3,34.39,1389992017.9443867,CFU,wt,CFUwt
33,34.0,1,3,33.96,168.00102588674497,PFU,wt,PFUwt
34,34.0,1,3,33.99,1539756026.1171043,CFU,sp,CFUsp
35,34.0,1,3,34.07,36.15742973355818,PFU,sp,PFUsp
36,34.0,1,4,34.42,1389992129.9354486,CFU,wt,CFUwt
37,34.0,1,4,33.69,166.26294755280216,PFU,wt,PFUwt
38,34.0,1,4,34.34,1539786554.6071112,CFU,sp,CFUsp
39,34.0,1,4,34.19,36.340269088357516,PFU,sp,PFUsp
40,34.0,2,0,34.19,1389991229.497702,CFU,wt,CFUwt
41,34.0,2,0,34.46,171.21597854721284,PFU,wt,PFUwt
42,34.0,2,0,33.72,1539729523.841337,CFU,sp,CFUsp
43,34.0,2,0,33.89,35.88304986341019,PFU,sp,PFUsp
44,34.0,2,1,33.94,1389990133.533373,CFU,wt,CFUwt
45,34.0,2,1,34.39,170.76617513349126,PFU,wt,PFUwt
46,34.0,2,1,34.19,1539773968.844429,CFU,sp,CFUsp
47,34.0,2,1,33.980000000000004,36.0202579174576,PFU,sp,PFUsp
48,34.0,2,2,33.74,1389989158.9481752,CFU,wt,CFUwt
49,34.0,2,2,34.19,169.4805024311811,PFU,wt,PFUwt
50,34.0,2,2,34.24,1539778244.45512,CFU,sp,CFUsp
