,Time,Concentration,Bioagent,Type
0,0.0,22000000.0,CFU,wt
1,0.01,22102212.873935174,CFU,wt
2,0.02,22204892.924776178,CFU,wt
3,0.03,22308042.216036547,CFU,wt
4,0.04,22411662.819675848,CFU,wt
5,0.05,22515756.816127975,CFU,wt
6,0.06,22620326.294329472,CFU,wt
7,0.07,22725373.351747856,CFU,wt
8,0.08,22830900.094410013,CFU,wt
9,0.09,22936908.63693061,CFU,wt
10,0.1,23043401.102540523,CFU,wt
11,0.11,23150379.623115305,CFU,wt
12,0.12,23257846.339203697,CFU,wt
13,0.13,23365803.40005615,CFU,wt
14,0.14,23474252.96365336,CFU,wt
15,0.15,23583197.196734887,CFU,wt
16,0.16,23692638.27482771,CFU,wt
17,0.17,23802578.382274907,CFU,wt
18,0.18,23913019.712264277,CFU,wt
19,0.19,24023964.46685703,CFU,wt
20,0.2,24135414.857016496,CFU,wt
21,0.21,24247373.102636833,CFU,wt
22,0.22,24359841.432571784,CFU,wt
23,0.23,24472822.084663436,CFU,wt
24,0.24,24586317.305771004,CFU,wt
25,0.25,24700329.351799645,CFU,wt
26,0.26,24814860.487729255,CFU,wt
27,0.27,24929912.987643324,CFU,wt
28,0.28,25045489.134757794,CFU,wt
29,0.29,25161591.221449908,CFU,wt
30,0.3,25278221.54928711,CFU,wt
31,0.31,25395382.42905593,CFU,wt
32,0.32,25513076.180790894,CFU,wt
33,0.33,25631305.133803453,CFU,wt
34,0.34,25750071.6267109,CFU,wt
35,0.35000000000000003,25869378.007465303,CFU,wt
36,0.36,25989226.633382484,CFU,wt
37,0.37,26109619.871170938,CFU,wt
38,0.38,26230560.09696082,CFU,wt
39,0.39,26352049.69633289,CFU,wt
40,0.4,26474091.064347506,CFU,wt
41,0.41000000000000003,26596686.605573583,CFU,wt
42,0.42,26719838.73411758,CFU,wt
43,0.43,26843549.87365247,CFU,wt
44,0.44,26967822.45744672,CFU,wt
45,0.45,27092658.928393282,CFU,wt
46,0.46,27218061.739038557,CFU,wt
47,0.47000000000000003,27344033.35161135,CFU,wt
48,0.48,27470576.238051876,CFU,wt
49,0.49,27597692.8800407,CFU,wt
50,0.5,27725385.769027695,CFU,wt
51,0.51,27853657.406260986,CFU,wt
52,0.52,27982510.302815903,CFU,wt
53,0.53,28111946.979623903,CFU,wt
54,0.54,28241969.96750149,CFU,wt
55,0.55,28372581.807179123,CFU,wt
56,0.56,28503785.049330104,CFU,wt
57,0.5700000000000001,28635582.25459945,CFU,wt
58,0.58,28767975.99363277,CFU,wt
59,0.59,28900968.847105097,CFU,wt
60,0.6,29034563.405749716,CFU,wt
61,0.61,29168762.270386964,CFU,wt
62,0.62,29303568.051953018,CFU,wt
63,0.63,29438983.371528663,CFU,wt
64,0.64,29575010.860368006,CFU,wt
65,0.65,29711653.15992721,CFU,wt
66,0.66,29848912.921893165,CFU,wt
67,0.67,29986792.808212146,CFU,wt
68,0.68,30125295.49111844,CFU,wt
69,0.6900000000000001,30264423.65316294,CFU,wt
70,0.7000000000000001,30404179.987241723,CFU,wt
71,0.71,30544567.196624544,CFU,wt
72,0.72,30685587.994983353,CFU,wt
73,0.73,30827245.106420755,CFU,wt
74,0.74,30969541.265498422,CFU,wt
75,0.75,31112479.217265453,CFU,wt
76,0.76,31256061.71728674,CFU,wt
77,0.77,31400291.53167124,CFU,wt
78,0.78,31545171.43710024,CFU,wt
79,0.79,31690704.220855538,CFU,wt
80,0.8,31836892.68084762,CFU,wt
81,0.81,31983739.62564375,CFU,wt
82,0.8200000000000001,32131247.874496024,CFU,wt
83,0.8300000000000001,32279420.257369395,CFU,wt
84,0.84,32428259.614969585,CFU,wt
85,0.85,32577768.79877101,CFU,wt
86,0.86,32727950.67104458,CFU,wt
87,0.87,32878808.10488551,CFU,wt
88,0.88,33030343.984241,CFU,wt
89,0.89,33182561.20393791,CFU,wt
90,0.9,33335462.669710323,CFU,wt
91,0.91,33489051.298227087,CFU,wt
92,0.92,33643330.01711925,CFU,wt
93,0.93,33798301.76500745,CFU,wt
94,0.9400000000000001,33953969.49152922,CFU,wt
95,0.9500000000000001,34110336.1573662,CFU,wt
96,0.96,34267404.73427136,CFU,wt
97,0.97,34425178.20509602,CFU,wt
98,0.98,34583659.56381687,CFU,wt
99,0.99,34742851.8155629,CFU,wt
100,1.0,34902757.97664222,CFU,wt
101,1.01,35063381.07456885,CFU,wt
102,1.02,35224724.14808936,CFU,wt
103,1.03,35386790.24720941,CFU,wt
