,Experiment,Measurement,Time,Concentration,Bioagent,Type
0,0,0,9.96,885021908.4125593,CFU,wt
1,0,0,9.67,13.332370347476232,PFU,wt
2,0,0,10.39,668520036.7853725,CFU,sp
3,0,0,9.82,1.9767146507310924,PFU,sp
4,0,1,10.450000000000001,956648649.4802656,CFU,wt
5,0,1,9.51,12.677476695101348,PFU,wt
6,0,1,10.49,683006292.0569648,CFU,sp
7,0,1,10.3,2.289856528701241,PFU,sp
8,0,2,9.78,857460274.6562958,CFU,wt
9,0,2,9.81,13.921556131218795,PFU,wt
10,0,2,10.13,631220775.2622567,CFU,sp
11,0,2,10.01,2.0965914577956117,PFU,sp
12,0,3,9.870000000000001,871315179.6001583,CFU,wt
13,0,3,9.8,13.878976538887496,PFU,wt
14,0,3,9.76,579319949.5570649,CFU,sp
15,0,3,9.91,2.032839258765961,PFU,sp
16,0,4,9.99,889556191.2544571,CFU,wt
17,0,4,9.63,13.166789535490281,PFU,wt
18,0,4,10.07,622701189.1182187,CFU,sp
19,0,4,10.44,2.3876702401623247,PFU,sp
20,1,0,10.38,946754900.7233524,CFU,wt
21,1,0,10.43,16.70538222556957,PFU,wt
22,1,0,10.05,619869511.5180517,CFU,sp
23,1,0,9.85,1.9952916091405475,PFU,sp
24,1,1,10.13,910474040.0766499,CFU,wt
25,1,1,9.58,12.961550961248753,PFU,wt
26,1,1,9.93,602970495.2419388,CFU,sp
27,1,1,9.67,1.8857845432093363,PFU,sp
28,1,2,10.08,903050278.4456488,CFU,wt
29,1,2,9.86,14.135587827239535,PFU,wt
30,1,2,10.4,669965554.0541176,CFU,sp
31,1,2,10.09,2.148655368836563,PFU,sp
32,1,3,10.15,913428505.1819831,CFU,wt
33,1,3,9.870000000000001,14.178620275002961,PFU,wt
34,1,3,10.05,619869511.5180517,CFU,sp
35,1,3,9.9,2.026544777578475,PFU,sp
36,1,4,10.200000000000001,920776257.4253217,CFU,wt
37,1,4,9.8,13.878976538887496,PFU,wt
38,1,4,10.14,632644189.539313,CFU,sp
39,1,4,9.59,1.8386096863768955,PFU,sp
40,2,0,10.19,919311142.2228388,CFU,wt
41,2,0,10.22,15.731393463638813,PFU,wt
42,2,0,10.290000000000001,654106520.0492346,CFU,sp
43,2,0,10.15,2.1883265268374097,PFU,sp
44,2,1,10.49,962247623.7106284,CFU,wt
45,2,1,10.41,16.611293261760093,PFU,wt
46,2,1,10.36,664187890.2310096,CFU,sp
47,2,1,10.08,2.142095529568214,PFU,sp
48,2,2,10.49,962247623.7106284,CFU,wt
49,2,2,10.35,16.33069133535699,PFU,wt
50,2,2,9.790000000000001,583467322.3669512,CFU,sp
51,2,2,9.5,1.78662483856921,PFU,sp
52,2,3,10.26,929519524.0666704,CFU,wt
53,2,3,10.11,15.233720648428031,PFU,wt
54,2,3,10.1,626956447.8309109,CFU,sp
55,2,3,9.870000000000001,2.0077490782637892,PFU,sp
56,2,4,10.450000000000001,956648649.4802656,CFU,wt
57,2,4,10.17,15.504097165088675,PFU,wt
58,2,4,10.1,626956447.8309109,CFU,sp
59,2,4,9.96,2.064531567929469,PFU,sp
60,3,0,10.27,930968729.8536816,CFU,wt
61,3,0,10.18,15.549412764504313,PFU,wt
62,3,0,10.43,674306371.044318,CFU,sp
63,3,0,9.77,1.9460435200011568,PFU,sp
64,3,1,9.71,846588324.6613617,CFU,wt
65,3,1,10.47,16.89438664444527,PFU,wt
66,3,1,9.83,589015048.971146,CFU,sp
67,3,1,9.74,1.9278145450434554,PFU,sp
68,3,2,10.17,916374236.3782508,CFU,wt
69,3,2,9.73,13.583046462847301,PFU,wt
70,3,2,9.99,611400059.5148289,CFU,sp
71,3,2,10.42,2.373515561826965,PFU,sp
72,3,3,10.15,913428505.1819831,CFU,wt
73,3,3,9.72,13.54107563974984,PFU,wt
