,Theoretic Time,Experiment,Measurement,Time,Concentration,Bioagent,Type
0,10,0,0,10.06,900065983.7588294,CFU,wt
1,10,0,0,10.13,15.323556446254667,PFU,wt
2,10,0,0,9.98,609992309.8908358,CFU,sp
3,10,0,0,10.34,2.3175015474069998,PFU,sp
4,10,0,1,9.97,886535303.4868376,CFU,wt
5,10,0,1,10.120000000000001,15.278602242076394,PFU,wt
6,10,0,1,10.44,675754698.2841866,CFU,sp
7,10,0,1,9.63,1.8620829431115984,PFU,sp
8,10,0,2,9.51,815111011.1502727,CFU,wt
9,10,0,2,10.01,14.788922008062805,PFU,wt
10,10,0,2,10.41,671411788.8738114,CFU,sp
11,10,0,2,9.540000000000001,1.8095877898593282,PFU,sp
12,10,0,3,10.28,932415619.991849,CFU,wt
13,10,0,3,9.85,14.09263062625721,PFU,wt
14,10,0,3,9.71,572433888.5068696,CFU,sp
15,10,0,3,9.78,1.952148760214323,PFU,sp
16,10,0,4,9.5,813522527.1471375,CFU,wt
17,10,0,4,9.71,13.499181295462542,PFU,wt
18,10,0,4,10.05,619869511.5180517,CFU,sp
19,10,0,4,9.870000000000001,2.0077490782637892,PFU,sp
