,Theoretic Time,Experiment,Measurement,Time,Concentration,Bioagent,Type,Total_Type
0,28.0,0,0,27.78,1389820465.3119533,CFU,wt,CFUwt
1,28.0,0,0,27.54,126.29143131996463,PFU,wt,PFUwt
2,28.0,0,0,28.28,1537841784.3455539,CFU,sp,CFUsp
3,28.0,0,0,27.88,26.640968529638297,PFU,sp,PFUsp
4,28.0,0,1,27.6,1389804582.7617118,CFU,wt,CFUwt
5,28.0,0,1,28.36,131.663257726967,PFU,wt,PFUwt
6,28.0,0,1,28.41,1537946204.1951516,CFU,sp,CFUsp
7,28.0,0,1,27.76,26.454934680062394,PFU,sp,PFUsp
8,28.0,0,2,27.79,1389821308.8230438,CFU,wt,CFUwt
9,28.0,0,2,27.7,127.34060903644463,PFU,wt,PFUwt
10,28.0,0,2,27.67,1537276455.6231601,CFU,sp,CFUsp
11,28.0,0,2,27.92,26.702968217353956,PFU,sp,PFUsp
12,28.0,0,3,28.03,1389840406.0356321,CFU,wt,CFUwt
13,28.0,0,3,28.310000000000002,131.33607840766157,PFU,wt,PFUwt
14,28.0,0,3,27.96,1537561606.0954869,CFU,sp,CFUsp
15,28.0,0,3,28.14,27.04386152624501,PFU,sp,PFUsp
16,28.0,0,4,28.310000000000002,1389860122.4835489,CFU,wt,CFUwt
17,28.0,0,4,28.46,132.31747154336435,PFU,wt,PFUwt
18,28.0,0,4,28.25,1537816944.1932714,CFU,sp,CFUsp
19,28.0,0,4,28.11,26.997386613698872,PFU,sp,PFUsp
