,Time,Concentration,Bioagent,Type,Sampling
0,0.0,22000000.0,CFU,wt,0
1,0.01,22094384.26358853,CFU,wt,0
2,0.02,22189166.573875003,CFU,wt,0
3,0.03,22284348.550391853,CFU,wt,0
4,0.04,22379931.81875231,CFU,wt,0
5,0.05,22475918.0106688,CFU,wt,0
6,0.06,22572308.763971385,CFU,wt,0
7,0.07,22669105.722626206,CFU,wt,0
8,0.08,22766310.536753923,CFU,wt,0
9,0.09,22863924.862648204,CFU,wt,0
10,0.1,22961950.3627942,CFU,wt,0
11,0.11,23060388.70588705,CFU,wt,0
12,0.12,23159241.566850375,CFU,wt,0
13,0.13,23258510.626854826,CFU,wt,0
14,0.14,23358197.573336598,CFU,wt,0
15,0.15,23458304.100015998,CFU,wt,0
16,0.16,23558831.906915985,CFU,wt,0
17,0.17,23659782.700380743,CFU,wt,0
18,0.18,23761158.19309427,CFU,wt,0
19,0.19,23862960.104098946,CFU,wt,0
20,0.2,23965190.158814166,CFU,wt,0
21,0.21,24067850.089054905,CFU,wt,0
22,0.22,24170941.633050364,CFU,wt,0
23,0.23,24274466.535462584,CFU,wt,0
24,0.24,24378426.54740507,CFU,wt,0
25,0.25,24482823.42646143,CFU,wt,0
26,0.26,24587658.93670401,CFU,wt,0
27,0.27,24692934.848712567,CFU,wt,0
28,0.28,24798652.9395929,CFU,wt,0
29,0.29,24904814.992995508,CFU,wt,0
30,0.3,25011422.799134262,CFU,wt,0
31,0.31,25118478.154805064,CFU,wt,0
32,0.32,25225982.863404516,CFU,wt,0
33,0.33,25333938.73494859,CFU,wt,0
34,0.34,25442347.58609129,CFU,wt,0
35,0.35000000000000003,25551211.24014336,CFU,wt,0
36,0.36,25660531.527090907,CFU,wt,0
37,0.37,25770310.283614114,CFU,wt,0
38,0.38,25880549.35310589,CFU,wt,0
39,0.39,25991250.585690558,CFU,wt,0
40,0.4,26102415.83824251,CFU,wt,0
41,0.41000000000000003,26214046.974404883,CFU,wt,0
42,0.42,26326145.86460822,CFU,wt,0
43,0.43,26438714.386089135,CFU,wt,0
44,0.44,26551754.422908958,CFU,wt,0
45,0.45,26665267.8659724,CFU,wt,0
46,0.46,26779256.613046177,CFU,wt,0
47,0.47000000000000003,26893722.568777677,CFU,wt,0
