,B,T,dB/dt_1,dT/dt_1,dB/dt_2,dT/dt_2
0,1094.0899393058817,10001.908713781491,940.8993930588167,19.08713781491315,984.3526557443654,21.23810024063054
1,1197.0274846400591,10004.260984861763,1029.3754533417746,23.522710802717484,1076.9654749151814,25.877258373149957
2,1309.6435600685977,10007.098811393338,1126.1607542853858,28.37826531575047,1178.2860320863385,30.95591963799996
3,1432.8469196052613,10010.468221414918,1232.0335953666358,33.694100215798244,1289.1319235880894,36.516297476911475
4,1567.6313966175444,10014.419668612467,1347.844770122831,39.51447197548987,1410.3972893950474,42.60475903928034
5,1715.0838204518109,10019.008468717158,1474.5242383426648,45.888001046914724,1543.0599352269799,49.27225323509107
6,1876.3926601006792,10024.295281052759,1613.0883964886834,52.86812335600189,1688.18910866797,56.574786609273986
7,2052.857459783463,10030.34664030934,1764.647996827839,60.513592565821455,1846.9539876473737,64.57395306861245
8,2245.899136719793,10037.235544266303,1930.4167693633008,68.88903956962167,2020.6329444884964,73.33752437369844
9,2457.071217159696,10045.042103929023,2111.7208043990286,78.06559662720247,2210.6236539288648,82.94010933824447
10,2688.072092899532,10053.854263396457,2310.008757398359,88.12159467433958,2418.454119057433,93.46389088430739
11,2940.758387067389,10063.768597760725,2526.862941678569,99.14334364268143,2645.794695003369,104.99945151843616
12,3217.1595249034917,10074.891198477362,2764.0113783610286,111.22600716636953,2894.471196447696,117.64669946122848
13,3519.49361258373,10087.33865696376,3023.340876802381,124.47458486398318,3166.4791816062225,131.5159096306895
14,3850.1847348214237,10101.239158716568,3306.911222376939,139.0050175280703,3463.9995122349314,146.72889600811277
15,4211.881790006726,10116.733702025744,3616.9705518530236,154.94543309176152,3789.4152964124364,163.42033467692093
16,4607.4789899634225,10133.977457451512,3955.971999566964,172.4375542576854,4145.330328320481,181.73926010900428
17,5040.1381599609085,10153.14128667784,4326.591699974861,191.63829226326925,4534.589146919544,201.8507611883701
18,5513.312983335148,10174.413442232064,4731.748233742392,212.7215555422481,4960.298843229767,223.93790814169978
19,6030.775343840849,10198.001472949169,5174.623605057013,235.8803071710463,5425.852753781579,248.20394715355755
20,6596.643927540885,10224.134364063464,5658.685837000357,261.3289111429549,5934.956185570785,274.87480618239823
21,7215.415254462883,10253.064945555334,6187.713269219985,289.30581491869816,6491.654325380201,304.20196361165875
22,7891.997318196181,10285.072608018894,6765.820637332981,320.07662463560337,7100.362493413365,336.46574117726857
23,8631.746018789057,10320.466372035467,7397.4870059287605,353.93764016573186,7765.898907574586,371.9790944931864
24,9440.504580395746,10359.58836506801,8087.585616066881,391.2199303254238,8493.52013011383,411.09198892928504
25,10324.64614969691,10402.817769517149,8841.41569301164,432.2940444913911,9288.959372354317,454.19646618054907
26,11291.119773667058,10450.575317151686,9664.736239701488,477.5754763453733,10158.467835372063,501.7325283555725
27,12347.499955171854,10503.328419081286,10563.801815047955,527.5310192960023,11108.859264239156,554.1949927534988
28,13502.039981406935,10561.597037319356,11545.400262350813,582.6861823806939,12147.55789010228,612.141502889783
29,14763.729212453058,10625.960424467772,12616.892310461226,643.6338714841622,13282.64992713788,676.2019212923724
30,16142.35450416854,10697.064882992052,13786.252917154816,711.0445852427983,14522.938779346825,747.0893790566965
31,17648.565920027846,10775.632726014865,15062.114158593067,785.6784302281267,15878.004094090209,825.6133185950305
32,19293.946858886877,10862.472658887827,16453.809388590307,868.3993287296289,17358.26477389109,912.694942620234
33,21091.088688310854,10958.49184671791,17971.418294239775,960.1918783008296,18975.046023776893,1009.3855782608543
34,23053.669924069123,11064.709989704505,19625.81235758269,1062.181429865941,20740.650466504965,1116.8885856157178
35,25196.53993341593,11182.275798371047,21428.70009346807,1175.6580866654258,22668.433300313336,1236.5855919151306
36,27535.807060250012,11312.486348125985,23392.67126834082,1302.1054975493826,24772.8814009814,1370.068024766939
37,30088.930971252263,11456.809901670771,25531.239110022507,1443.2355354478568,27069.69617925857,1519.1751625449122
38,32874.81890036307,11616.912924557164,27858.87929110806,1601.0302288639286,29575.87989306948,1686.040232403707
39,35913.925320853465,11794.69219145055,30391.06420490396,1777.7926689338528,32309.824977931734,1873.1464873218765
40,39228.35439581163,11992.313098537628,33144.29074958163,1976.209070870791,35291.40579498282,2083.3957104714505
41,42841.96434486545,12212.255574373465,36136.099490538254,2199.4247583583638,38542.07199984228,2320.1922648863697
42,46780.472612941085,12457.369334924668,39385.08268075631,2451.137605512031,42084.94250289693,2587.5466783700203
43,51071.560431270016,12730.940682041737,42910.878183289315,2735.713471170693,45944.89871795133,2890.203894844421
44,55744.97501724086,13036.773629336327,46734.14585970844,3058.3294729458976,50148.67547690859,3233.8028250653592
45,60832.627263904535,13379.288897403881,50876.52246663674,3425.1526806755464,54724.94761867753,3625.0758165706684
46,66368.68231848702,13763.645308167599,55360.55054582481,3843.5641076371758,59704.40983654826,4072.099306646624
47,72389.63993971238,14195.889402767434,60209.576212253596,4322.440945998351,65119.84688606643,4584.610460878659
48,78934.4009552544,14683.140814017994,65447.61015542026,4872.514112505596,71006.19071200008,5174.409365053454
49,86044.31551462843,15233.82318758651,71099.14559374025,5506.823735685157,77400.56044650018,5855.872794885159
50,93763.20815373118,15857.953465780885,77188.92639102749,6241.302781943759,84342.28056060695,6646.614392964693
51,102137.3739633579,16567.506402933745,83741.6580962672,7095.529371528592,91872.8717191086,7568.338169097251
52,111215.53939855531,17376.87666280839,90781.65435197414,8093.7025987464585,100036.00809736628,8647.948945367947
53,121048.78049762486,18303.468308516625,98332.4109906955,9265.916457082349,108877.4340723337,9919.00661803903
54,131690.39052472264,19368.45171987791,106416.10027097777,10649.834113612851,118444.83230312487,11423.643704009151
55,143195.6883414226,20597.74208819481,115052.97816699953,12292.903683168988,128787.6342715824,13215.111676844712
56,155621.75819091155,22023.273270644535,124260.69849488966,14255.311824497257,139956.7633565955,15361.187118576936
57,169027.11109096496,23684.668303514205,134053.52900053404,16613.9503286967,152004.29945005372,17948.76270095854
58,183471.2577302965,25631.446749362323,144441.46639331535,19467.784458481183,164983.05294409028,21090.08392558859
59,199014.18269911234,27925.96442737603,155429.24968815845,22945.17678013708,178946.03453960316,24931.290739297605
60,215715.71010284428,30647.360616386817,167015.27403731947,27213.961890107857,193945.80557781563,29664.21460191233
61,233634.75113180705,33896.90306451812,179190.41028962762,32495.42448131302,210033.6911832778,35542.813973698896
62,252828.42497237734,37805.28960425966,191936.73840570293,39083.86539741543,227258.83492035154,42906.278407321086
63,273351.0454599366,42542.71368637636,205226.20487559267,47374.24082116697,245667.06805605674,52211.80908460993
64,295252.9668859149,48332.87118067969,219019.21425978304,57901.57494303334,265299.5574888971,64081.57422464094
65,318579.2829891306,55472.64203903288,233263.1610321568,71397.70858353186,286191.1816544283,79370.63197067578
66,343368.3726985689,64360.02473517227,247890.89709438325,88873.82696139393,308368.55951990734,99266.17825144237
67,369650.28350220615,75534.19566050294,262819.10803637234,111741.70925330669,331847.61804678506,125434.07003222266
68,397444.9365205277,89733.56949408045,277946.5301832155,141993.73833577512,356630.51828353485,160237.4337464248
69,426760.12344140594,107980.87017756661,293151.86920878245,182473.0068348616,382701.6532126767,207066.33625180222
70,457589.23956174543,131709.17152681007,308291.1612033949,237283.01349243455,410022.2546163031,270840.36270989716
71,489908.651429632,162950.76082292802,323194.1186788655,312415.8929611795,438522.856662143,358783.18154856504
72,523674.5192284484,204623.3898414618,337658.6779881641,416726.2901853377,468092.3856466599,481629.30334999674
73,558818.7621902375,260969.12698586547,351442.4296178913,563457.3714440368,498561.85263585055,655524.2867489265
74,595243.6355016859,338234.834569817,364248.73311448377,772657.0758395153,529679.3079740378,905047.5390851257
75,632814.0223393454,445739.00697104156,375703.8683765952,1075041.7240122454,561070.5232879642,1268066.4533974873
76,671345.9407275134,597561.8592869337,385319.1838816798,1518228.5231589212,592176.224797786,1803595.1053404044
77,710588.7685816835,815247.9671737535,392428.27854170115,2176861.0788681987,622150.7102510337,2604594.5265641455
78,750197.0597908717,1132161.1286136748,396082.91209188174,3169131.6143992124,649697.0353149198,3818877.723369603
79,789685.2038321928,1600534.980779586,394881.44041321124,4683738.521659111,672799.1196728491,5683153.068472485
80,828354.1296659403,2302889.0087104505,386689.2583374749,7023540.279308646,688290.4880835181,8577786.203149835
